Year/Week,Year,Week,Mt. Baw Baw Visits,Mt. Baw Baw Maximum temperature (Degree C),Mt. Baw Baw Minimum temperature (Degree C),Mt. Baw Baw Rainfall amount (millimetres),Mt. Stirling Visits,Mt. Stirling Maximum temperature (Degree C),Mt. Stirling Minimum temperature (Degree C),Mt. Stirling Rainfall amount (millimetres),Mt. Hotham Visits,Mt. Hotham Maximum temperature (Degree C),Mt. Hotham Minimum temperature (Degree C),Mt. Hotham Rainfall amount (millimetres),Falls Creek Visits,Falls Creek Maximum temperature (Degree C),Falls Creek Minimum temperature (Degree C),Falls Creek Rainfall amount (millimetres),Mt. Buller Visits,Mt. Buller Maximum temperature (Degree C),Mt. Buller Minimum temperature (Degree C),Mt. Buller Rainfall amount (millimetres),Selwyn Visits,Selwyn Maximum temperature (Degree C),Selwyn Minimum temperature (Degree C),Selwyn Rainfall amount (millimetres),Thredbo Visits,Thredbo Maximum temperature (Degree C),Thredbo Minimum temperature (Degree C),Thredbo Rainfall amount (millimetres),Perisher Visits,Perisher Maximum temperature (Degree C),Perisher Minimum temperature (Degree C),Perisher Rainfall amount (millimetres),Charlotte Pass Visits,Charlotte Maximum temperature (Degree C),Charlotte Minimum temperature (Degree C),Charlotte Rainfall amount (millimetres),Average Pass Visits,Average Maximum temperature (Degree C),Average Minimum temperature (Degree C),Average Rainfall amount (millimetres)
2014/1,2014,1,555,4.957142857,1.1,3.485714286,60,4.271428571,-0.014285714,2.028571429,3483,3.457142857,-1.142857143,6,2790,4.6,-0.3,3.4,8296,4.271428571,-0.014285714,2.028571429,1041,6.828571429,1.571428571,4.171428571,5535,4.714285714,-2,5.8,7370,6.328571429,-1.585714286,8.857142857,408,5.521428571,-1.792857143,7.328571429,3282,4.994444444,-0.464285714,4.788888889
2014/2,2014,2,804,5.485714286,0.814285714,3,42,5.257142857,-0.342857143,6.8,1253,3,-1.257142857,1.857142857,1425,4.414285714,-0.285714286,1.085714286,1987,5.257142857,-0.342857143,6.8,383,6.714285714,1.528571429,2.057142857,2090,2.657142857,-1.685714286,1.142857143,2751,5.257142857,-1.857142857,1.971428571,151,3.957142857,-1.771428571,1.557142857,1209.555556,4.666666667,-0.577777778,2.919047619
2014/3,2014,3,993,1.042857143,-1.814285714,10.91428571,30,0.385714286,-2.514285714,19.08571429,2992,-0.9,-3.285714286,2.971428571,2101,0.1,-2.828571429,9.942857143,2413,0.385714286,-2.514285714,19.08571429,597,1.671428571,-0.857142857,15.57142857,3216,-1.028571429,-4.114285714,0.6,4255,0.885714286,-2.457142857,31.51428571,230,-0.071428571,-3.285714286,16.05714286,1869.666667,0.274603175,-2.63015873,13.97142857
2014/4,2014,4,2976,2.528571429,-0.957142857,11.71428571,165,0.957142857,-1.857142857,11.42857143,9680,-0.985714286,-3.471428571,0.085714286,9544,1.385714286,-2.685714286,3.457142857,18831,0.957142857,-1.857142857,11.42857143,2877,3.142857143,-0.757142857,8.6,15497,-1.314285714,-4.357142857,0.057142857,20265,2.942857143,-2.457142857,7.685714286,1134,0.814285714,-3.407142857,3.871428571,8996.555556,1.158730159,-2.423015873,6.480952381
2014/5,2014,5,11112,0.685714286,-2.257142857,11.8,645,-0.285714286,-3.4,10.2,29628,-1.842857143,-4,0.457142857,26211,-0.728571429,-3.757142857,1.942857143,49217,-0.285714286,-3.4,10.2,8588,1.271428571,-2.257142857,6.314285714,46546,-1.685714286,-5.185714286,0.428571429,61339,1.185714286,-3.757142857,5.571428571,3403,-0.25,-4.471428571,3,26298.77778,-0.215079365,-3.60952381,5.546031746
2014/6,2014,6,13381,1.014285714,-2.428571429,8.228571429,1316,-1,-3.585714286,5.314285714,36665,-1.957142857,-4.442857143,0.085714286,33392,0.285714286,-3.957142857,8.971428571,59693,-1,-3.585714286,5.314285714,10682,2.785714286,-1.614285714,4.4,58668,-1.871428571,-5.414285714,0.514285714,76855,1.785714286,-4.357142857,7.342857143,4305,-0.042857143,-4.885714286,3.928571429,32773,-1.12256E-15,-3.807936508,4.9
2014/7,2014,7,8832,3.785714286,0.014285714,1.2,684,2.371428571,-1.514285714,3.771428571,26465,0.128571429,-3.242857143,6.771428571,28149,3.1,-0.885714286,1.228571429,45788,2.371428571,-1.514285714,3.771428571,8180,5.528571429,0.885714286,0.714285714,44109,1.257142857,-4.5,0.485714286,57593,5.085714286,-4.357142857,0.714285714,3236,3.171428571,-4.428571429,0.6,24781.77778,2.977777778,-2.171428571,2.13968254
2014/8,2014,8,9347,1.7,-2.171428571,8,1250,0.442857143,-2.985714286,14.42857143,21679,-0.942857143,-3.957142857,12.45714286,24565,0.185714286,-3.328571429,4.828571429,41720,0.442857143,-2.985714286,14.42857143,7267,3.371428571,-1.028571429,2.114285714,39654,-0.828571429,-4.371428571,4,52426,1.771428571,-3.657142857,8.314285714,2901,0.471428571,-4.014285714,6.157142857,22312.11111,0.734920635,-3.166666667,8.303174603
2014/9,2014,9,10071,2.114285714,-2.014285714,1.657142857,1280,1.157142857,-3.514285714,0.942857143,31019,0.7,-3.757142857,0.428571429,28981,2.371428571,-2.571428571,0.285714286,48984,1.157142857,-3.514285714,0.942857143,8708,4.714285714,-0.842857143,0,46875,2.2,-4.628571429,0,62654,5.2,-5.542857143,0.371428571,3391,3.7,-5.085714286,0.185714286,26884.77778,2.59047619,-3.496825397,0.534920635
2014/10,2014,10,11071,3.542857143,-2.114285714,3.314285714,1653,3.714285714,-3.871428571,0.714285714,30360,1.657142857,-5.485714286,0.685714286,33125,3.4,-4.542857143,0,47315,3.714285714,-3.871428571,0.714285714,9133,5.842857143,-2.285714286,0.285714286,48777,1.514285714,-7.042857143,0.085714286,64928,4.042857143,-7.957142857,1.542857143,3549,2.778571429,-7.5,0.814285714,27767.88889,3.356349206,-4.963492063,0.906349206
2014/11,2014,11,10079,5.285714286,-0.057142857,3.142857143,902,4.314285714,-0.328571429,0.057142857,35923,2.7,-1.271428571,3.142857143,36486,4.428571429,-0.485714286,3.485714286,43314,4.314285714,-0.328571429,0.057142857,8968,8.614285714,1.1,0.857142857,49003,2.371428571,-4.257142857,2.771428571,64834,5.628571429,-3.257142857,9.771428571,3608,4,-3.757142857,6.271428571,28124.11111,4.628571429,-1.404761905,3.284126984
2014/12,2014,12,7635,8.257142857,1.828571429,0.971428571,847,7.085714286,1.171428571,0.085714286,32657,5.485714286,-0.457142857,1.342857143,34468,7.028571429,0.071428571,1.285714286,41063,7.085714286,1.171428571,0.085714286,8404,9.057142857,0.957142857,0.171428571,44164,3.957142857,-2.957142857,2.142857143,59121,6.528571429,-3.685714286,4.628571429,3258,5.242857143,-3.321428571,3.385714286,25735.22222,6.636507937,-0.58015873,1.566666667
2014/13,2014,13,4681,5.814285714,-0.314285714,5.8,522,4.414285714,-1.7,4.257142857,28855,1.457142857,-3.471428571,0.885714286,30104,3.528571429,-2.1,3.628571429,41063,4.414285714,-1.7,4.257142857,6975,8.4,-0.314285714,0.914285714,38470,0.814285714,-5.457142857,1.342857143,50737,4.7,-4.3,5.028571429,2837,2.757142857,-4.878571429,3.185714286,22693.77778,4.033333333,-2.692857143,3.255555556
2014/14,2014,14,1904,5.671428571,1.014285714,4.914285714,267,5.271428571,0.271428571,4.8,18708,4.185714286,-0.957142857,12.91428571,23864,5.7,-0.2,6.4,26222,5.271428571,0.271428571,4.8,4628,8.885714286,2.271428571,3.6,25734,3.957142857,-1.4,6.971428571,33833,6.885714286,-0.642857143,7,1898,5.421428571,-1.021428571,6.985714286,15228.66667,5.694444444,-0.043650794,6.487301587
2014/15,2014,15,0,4.728571429,-0.642857143,7.4,66,4.842857143,-1.514285714,2.971428571,11117,3.542857143,-2.742857143,1.857142857,15869,5.771428571,-1.871428571,0.428571429,11881,4.842857143,-1.514285714,2.971428571,2566,8.442857143,1.114285714,1.371428571,13890,2.628571429,-2.8,1.114285714,18381,6.057142857,-2.214285714,2.742857143,995,4.342857143,-2.507142857,1.928571429,8307.222222,5.022222222,-1.632539683,2.531746032
2015/1,2015,1,3185,6.271428571,-3.17207E-17,2.914285714,39,6.5,0.185714286,2.542857143,4997,7.228571429,0.271428571,2.857142857,4799,7.228571429,0.157142857,0.028571429,15612,6.5,0.185714286,2.542857143,2238,9.028571429,2.171428571,0.257142857,12039,7.528571429,-2.128571429,0.857142857,15906,9.885714286,-3.571428571,0.228571429,892,8.707142857,-2.85,0.542857143,6634.111111,7.653174603,-0.61984127,1.419047619
2015/2,2015,2,2058,2.885714286,-0.957142857,3.628571429,63,2.8,-1.928571429,1.142857143,1797,8.9,3,2.057142857,3293,2.157142857,-2.028571429,4.028571429,6592,2.8,-1.928571429,1.142857143,1001,5.5,0.7,3.542857143,5540,2.157142857,-2.971428571,7.571428571,7363,3.814285714,-2.271428571,12.45714286,405,2.985714286,-2.621428571,10.01428571,3123.555556,3.777777778,-1.223015873,5.065079365
2015/3,2015,3,1745,6.242857143,-0.071428571,0.114285714,51,6.414285714,-0.557142857,0.085714286,3605,8.9,3,2.314285714,5965,7,-0.442857143,1.028571429,6648,6.414285714,-0.557142857,0.085714286,1331,8.257142857,2.228571429,0.485714286,7069,6.7,-0.957142857,0.2,9360,9.014285714,-3.285714286,0,501,7.857142857,-2.121428571,0.1,4030.555556,7.422222222,-0.307142857,0.49047619
2015/4,2015,4,2751,1.028571429,-2.014285714,3.028571429,27,-0.085714286,-3.885714286,1.685714286,13197,8.9,3,0.771428571,11758,1.371428571,-3.914285714,0.457142857,18766,-0.085714286,-3.885714286,1.685714286,3211,2.785714286,-3.357142857,1.028571429,17634,2.242857143,-5,0,23296,4.642857143,-6.728571429,0.971428571,1303,3.442857143,-5.864285714,0.485714286,10215.88889,2.693650794,-3.516666667,1.123809524
2015/5,2015,5,6748,1.585714286,-1.514285714,14.02857143,69,0.628571429,-3.014285714,6.542857143,22318,0.757142857,-1.1,0,20779,0.542857143,-2.971428571,9.457142857,38879,0.628571429,-3.014285714,6.542857143,6658,3.528571429,-1.528571429,6.628571429,35918,0.271428571,-5.042857143,0.228571429,47607,2.642857143,-4.5,7.914285714,2645,1.457142857,-4.771428571,4.071428571,20180.11111,1.338095238,-3.050793651,6.157142857
2015/6,2015,6,8269,0.285714286,-3.671428571,12,240,-1.142857143,-5.2,3.685714286,27894,-2.728571429,-5.871428571,0,24064,-1.271428571,-5.5,0.828571429,45629,-1.142857143,-5.2,3.685714286,8112,1.857142857,-2.357142857,3.8,43234,-1.871428571,-7.671428571,1.228571429,57282,0.771428571,-6.2,4.8,3211,-0.55,-6.935714286,3.014285714,24215,-0.643650794,-5.400793651,3.671428571
2015/7,2015,7,8219,0.971428571,-1.714285714,3.428571429,714,0.228571429,-2.471428571,8.114285714,22620,-0.728571429,-3.257142857,6.571428571,27566,0.2,-2.342857143,5.485714286,38873,0.228571429,-2.471428571,8.114285714,7373,2.357142857,-0.071428571,8.4,40967,-0.8,-3.928571429,0.514285714,54202,1.257142857,-2.728571429,14.65714286,2996,0.228571429,-3.328571429,7.585714286,22614.44444,0.438095238,-2.479365079,6.985714286
2015/8,2015,8,8600,-0.028571429,-3.442857143,7.714285714,558,-0.014285714,-4.328571429,9.714285714,17562,-1.3,-4.157142857,0,25955,-0.4,-3.614285714,2.857142857,36714,-0.014285714,-4.328571429,9.714285714,6601,3.2,-1,10,36200,-0.414285714,-4.371428571,3.142857143,48170,1.814285714,-3.3,12.94285714,2661,0.7,-3.835714286,8.042857143,20335.66667,0.393650794,-3.597619048,7.125396825
2015/9,2015,9,8932,0.871428571,-3.185714286,11.57142857,1218,-0.628571429,-4.628571429,3.657142857,27850,-2.1,-5.742857143,0.114285714,31872,-0.285714286,-5.114285714,0.4,38171,-0.628571429,-4.628571429,3.657142857,7983,1.471428571,-3.071428571,0.428571429,43268,-2.014285714,-6.842857143,0.4,57548,1.028571429,-7.028571429,2.971428571,3148,-0.492857143,-6.935714286,1.685714286,24443.33333,-0.308730159,-5.242063492,2.765079365
2015/10,2015,10,10429,1.314285714,-1.871428571,2.857142857,1371,0.257142857,-2.228571429,4.085714286,31159,-1.085714286,-2.985714286,3.514285714,35417,0.942857143,-2.9,0.914285714,41782,0.257142857,-2.228571429,4.085714286,9023,2.857142857,-0.885714286,1.371428571,48525,0.285714286,-4.742857143,0.228571429,64346,3.271428571,-3.085714286,1.542857143,3473,1.778571429,-3.914285714,0.885714286,27280.55556,1.097619048,-2.76031746,2.165079365
2015/11,2015,11,10927,4.157142857,-0.642857143,3.8,1146,3.142857143,-1.857142857,0.4,35122,1.385714286,-3.857142857,3.2,37063,3.357142857,-2.1,0.314285714,44060,3.142857143,-1.857142857,0.4,9492,7.057142857,0.642857143,3.942857143,51900,2.142857143,-3.228571429,2.685714286,68527,5.585714286,-2.914285714,3.314285714,3719,3.864285714,-3.071428571,3,29106.22222,3.75952381,-2.098412698,2.33968254
2015/12,2015,12,9027,1.371428571,-2.7,12.85714286,744,2.128571429,-2.828571429,3.514285714,30754,1.628571429,-3.685714286,2.771428571,36903,2.028571429,-3.514285714,6.057142857,38823,2.128571429,-2.828571429,3.514285714,8436,5.028571429,-0.428571429,5.6,46015,0.185714286,-3.985714286,4.114285714,60788,3.1,-2.571428571,13.25714286,3358,1.642857143,-3.278571429,8.685714286,26094.22222,2.138095238,-2.869047619,6.707936508
2015/13,2015,13,6236,3.7,-1.557142857,1.171428571,618,3.485714286,-1.314285714,1.8,25367,4.7,-2.028571429,0.657142857,33126,3.242857143,-1.7,1.571428571,38042,3.485714286,-1.314285714,1.8,7256,6.971428571,-0.128571429,3.228571429,39850,1.057142857,-3.985714286,1.571428571,52337,4.914285714,-3.628571429,5.085714286,2909,2.985714286,-3.807142857,3.328571429,22860.11111,3.838095238,-2.162698413,2.246031746
2015/14,2015,14,4387,8.785714286,1.471428571,3.657142857,429,7.185714286,0.257142857,2,30754,4.8,-1.9,1.4,28099,7.5,-0.028571429,0.314285714,23919,7.185714286,0.257142857,2,6011,10.88571429,2.2,2.228571429,33284,5.7,-2.314285714,0.171428571,43826,8.442857143,-1.414285714,0.828571429,2403,7.071428571,-1.864285714,0.5,19234.66667,7.506349206,-0.370634921,1.455555556
2015/15,2015,15,2247,5.2,0.157142857,3.514285714,249,6.514285714,-0.285714286,1.771428571,12005,4.8,-1.9,1.657142857,18548,5.928571429,0.085714286,0.857142857,21892,6.514285714,-0.285714286,1.771428571,3722,9.285714286,1.871428571,0.485714286,20568,4.471428571,-2.1,1.571428571,27009,6.785714286,-1.7,1.514285714,1492,5.628571429,-1.9,1.542857143,11970.22222,6.125396825,-0.673015873,1.631746032
2016/1,2016,1,1154,5.271428571,-0.328571429,6.342857143,39,5.4,-0.857142857,13.28571429,4590,4.214285714,-1.271428571,11.17142857,3840,5.228571429,-1.742857143,6.514285714,8368,5.4,-0.857142857,13.28571429,1329,6.357142857,0.828571429,8.714285714,7167,3.742857143,-1.442857143,8.228571429,9419,5.7,-2.828571429,13.88571429,531,4.721428571,-2.135714286,11.05714286,4048.555556,5.115079365,-1.181746032,10.27619048
2016/2,2016,2,1298,4.471428571,2,10.2,36,3.414285714,0.3,14.25714286,1860,2.171428571,-0.428571429,6.971428571,2176,2.985714286,0.085714286,9.685714286,5298,3.414285714,0.3,14.25714286,764,5.742857143,2.442857143,12.22857143,4083,2.685714286,-0.5,8.257142857,5380,4.142857143,0.971428571,18.2,301,3.414285714,0.235714286,13.22857143,2355.111111,3.604761905,0.600793651,11.92063492
2016/3,2016,3,2306,-0.271428571,-3.128571429,4.2,186,-1.071428571,-4.242857143,7.942857143,8368,-2.128571429,-5.685714286,0.142857143,10297,-0.914285714,-4.671428571,3.342857143,17606,-1.071428571,-4.242857143,7.942857143,2903,1.442857143,-2.7,4.885714286,15501,-2.614285714,-5.985714286,0.2,20567,1.314285714,-5.6,8.771428571,1096,-0.65,-5.792857143,4.485714286,8758.888889,-0.662698413,-4.672222222,4.657142857
2016/4,2016,4,8796,1.557142857,-1.242857143,10.05714286,480,0,-2.014285714,5.685714286,17433,-0.671428571,-3.028571429,0.028571429,23077,0.342857143,-2.728571429,3.314285714,37586,0,-2.014285714,5.685714286,6868,2.757142857,-1.528571429,2.942857143,36917,1.514285714,-3.814285714,0.485714286,49193,3.985714286,-2.442857143,4.942857143,2705,2.75,-3.128571429,2.714285714,20339.44444,1.35952381,-2.438095238,3.984126984
2016/5,2016,5,7976,1.885714286,-0.571428571,9.742857143,711,0.657142857,-1.114285714,5.714285714,21302,-0.271428571,-2.157142857,0.628571429,33309,0.828571429,-1.471428571,8.485714286,56664,0.657142857,-1.114285714,5.714285714,9151,3.171428571,0.228571429,4.628571429,48170,-0.414285714,-2.885714286,6.314285714,64386,1.714285714,-1.4,15.62857143,3570,0.65,-2.142857143,10.97142857,27248.77778,0.986507937,-1.403174603,7.536507937
2016/6,2016,6,6614,4.9,-0.485714286,1.542857143,840,5.2,-1.185714286,3.885714286,25173,2.3,-2.6,4.285714286,38818,5.014285714,-1.028571429,0.914285714,44445,5.2,-1.185714286,3.885714286,8336,7.685714286,0.8,2.457142857,45940,4.414285714,-2.514285714,1.942857143,61295,4.8,-1.942857143,3.685714286,3316,4.607142857,-2.228571429,2.814285714,26086.33333,4.902380952,-1.374603175,2.823809524
2016/7,2016,7,5267,1.428571429,-2.414285714,9.171428571,694,0.928571429,-2.842857143,17.65714286,20774,-0.214285714,-3.514285714,16.34285714,30873,0.528571429,-2.785714286,13.02857143,37928,0.928571429,-2.842857143,17.65714286,6817,2.4,-1,8,37172,-0.057142857,-4.128571429,13.65714286,48984,1.528571429,-2.857142857,34.82857143,2689,0.735714286,-3.492857143,24.24285714,21244.22222,0.911904762,-2.875396825,17.17619048
2016/8,2016,8,6394,1.828571429,-1.214285714,8.4,1326,0.328571429,-2.228571429,13.2,19557,-0.442857143,-1.628571429,0.485714286,36692,3.17207E-17,-2.671428571,4.2,39125,0.328571429,-2.228571429,13.2,7706,2.242857143,-1.114285714,4.342857143,41911,-0.114285714,-3.971428571,1.142857143,55233,2.128571429,-3.042857143,4.314285714,3038,1.007142857,-3.507142857,2.728571429,23442.44444,0.811904762,-2.400793651,5.779365079
2016/9,2016,9,6676,1.971428571,-1.985714286,1.314285714,1122,1.557142857,-2.928571429,2.971428571,27232,-0.1,-0.5,3.2,40090,0.828571429,-3.128571429,2.257142857,46055,1.557142857,-2.928571429,2.971428571,8763,4.857142857,-0.3,1.2,47536,1.014285714,-6.057142857,2.942857143,63067,3.242857143,-4.6,4.457142857,3384,2.128571429,-5.328571429,3.7,27102.77778,1.895238095,-3.084126984,2.779365079
2016/10,2016,10,5593,4,-0.685714286,1.257142857,1149,2.471428571,-1.857142857,4.057142857,28044,0.728571429,-0.5,0.485714286,43213,2.185714286,-2.085714286,0.8,44706,2.471428571,-1.857142857,4.057142857,8848,5.871428571,-0.014285714,0.342857143,47996,2.071428571,-3.371428571,0.485714286,62748,4.771428571,-2.714285714,1.057142857,3549,3.421428571,-3.042857143,0.771428571,27316.22222,3.11031746,-1.792063492,1.479365079
2016/11,2016,11,3979,2.828571429,-1.128571429,5.057142857,708,1.728571429,-1.885714286,19.11428571,31774,0.342857143,-2.928571429,3.342857143,43213,1.042857143,-2.157142857,4.485714286,38065,1.728571429,-1.885714286,19.11428571,8235,4.371428571,0.028571429,5.457142857,43729,0.228571429,-3.357142857,2.742857143,57827,3,-2.057142857,7.4,3259,1.614285714,-2.707142857,5.071428571,25643.22222,1.876190476,-2.008730159,7.976190476
2016/12,2016,12,3909,3.2,-0.914285714,3.885714286,735,1.885714286,-2.671428571,5,28211,0.7,-4.028571429,10.4,43275,2.2,-2.857142857,7.542857143,34449,1.885714286,-2.671428571,5,7678,5.9,-0.085714286,4.228571429,41768,0.728571429,-4.5,13,54481,4.442857143,-4,7.314285714,2951,2.585714286,-4.25,10.15714286,24161.88889,2.614285714,-2.886507937,7.392063492
2016/13,2016,13,1373,7.742857143,1.371428571,5.885714286,198,6.514285714,1,2.257142857,20295,4.657142857,-0.485714286,3.685714286,33724,6.7,0.828571429,7.285714286,21929,6.514285714,1,2.257142857,5307,10.22857143,3.114285714,7.571428571,28580,5.057142857,-1.342857143,4.714285714,37561,8.4,-0.5,11.51428571,2070,6.728571429,-0.921428571,8.114285714,16781.88889,6.949206349,0.451587302,5.920634921
2016/14,2016,14,0,5.585714286,2.114285714,5.257142857,102,4.642857143,1.114285714,11.22857143,14224,4.028571429,0.814285714,8.342857143,24144,5.614285714,1.685714286,3.428571429,13075,4.642857143,1.114285714,11.22857143,3453,7.871428571,3.314285714,13.74285714,18938,4.671428571,-0.142857143,9.371428571,24737,7.771428571,0.785714286,7.714285714,1385,6.221428571,0.321428571,8.542857143,11117.55556,5.672222222,1.235714286,8.761904762
2016/15,2016,15,0,4.557142857,-0.457142857,4.457142857,87,3,-2.071428571,7.057142857,10134,1.7,-2.785714286,4.171428571,19696,2.6,-2.014285714,1.142857143,7411,3,-2.071428571,7.057142857,2599,6.057142857,0.685714286,6.228571429,13868,1.971428571,-2.814285714,5.457142857,18080,4.685714286,-1.071428571,13.74285714,979,3.328571429,-1.942857143,9.6,8094.888889,3.433333333,-1.615873016,6.546031746
2017/1,2017,1,3569,6.814285714,1.485714286,0.771428571,96,7.014285714,0.428571429,0,6288,6.385714286,-0.357142857,0.257142857,5663,7.257142857,0.242857143,0,18142,7.014285714,0.428571429,0,2569,8.828571429,2.585714286,0,14174,5.342857143,-1.3,0.2,18739,9.428571429,-2.571428571,0.114285714,1030,7.385714286,-1.935714286,0.157142857,7807.777778,7.274603175,-0.11031746,0.166666667
2017/2,2017,2,798,5.828571429,0.242857143,0.6,33,6.342857143,0.7,0,2644,5.614285714,0.342857143,0,3577,6.9,1.071428571,0,9023,6.342857143,0.7,0,1236,9.214285714,2.928571429,0,6636,6.557142857,-1.385714286,0,8792,9.885714286,-4.228571429,0,478,8.221428571,-2.807142857,0,3690.777778,7.211904762,-0.270634921,0.066666667
2017/3,2017,3,846,0.142857143,-2.471428571,2.028571429,72,-0.528571429,-3.242857143,1.485714286,5756,-1.1,-3.928571429,2.457142857,7935,0.128571429,-3.414285714,0.028571429,13836,-0.528571429,-3.242857143,1.485714286,2180,3.214285714,-0.785714286,0.2,11543,-0.257142857,-4.728571429,0.028571429,15236,2.857142857,-4.9,0.228571429,842,1.3,-4.814285714,0.128571429,6471.777778,0.580952381,-3.503174603,0.896825397
2017/4,2017,4,3486,1.8,-2.771428571,6.114285714,132,1.228571429,-2.985714286,11.31428571,17281,0.885714286,-3.557142857,2.914285714,16182,2.071428571,-2.885714286,5.914285714,26972,1.228571429,-2.985714286,11.31428571,4933,3.985714286,-1.085714286,9.714285714,26374,0.542857143,-4.928571429,3.114285714,34802,2.814285714,-4.914285714,7.085714286,1923,1.678571429,-4.921428571,5.1,14676.11111,1.803968254,-3.448412698,6.953968254
2017/5,2017,5,5981,0.814285714,-2.657142857,1.085714286,162,-0.471428571,-3.114285714,6.885714286,29573,-1.6,-4.942857143,0,30745,-0.628571429,-3.585714286,0.514285714,50070,-0.471428571,-3.114285714,6.885714286,8953,2.185714286,-1.657142857,3.228571429,49289,-2.014285714,-6.4,0.2,64376,0.757142857,-5.642857143,0.828571429,3523,-0.628571429,-6.021428571,0.514285714,26963.55556,-0.228571429,-4.126190476,2.238095238
2017/6,2017,6,9132,1.028571429,-2.171428571,6.542857143,387,-0.814285714,-3.9,8.314285714,33467,-1.614285714,-4.728571429,0,38180,-0.642857143,-4.171428571,2.8,57787,-0.814285714,-3.9,8.314285714,10860,1.671428571,-1.428571429,6.542857143,58279,-1.442857143,-4.728571429,1.885714286,76620,1.5,-4.242857143,5.085714286,4189,0.028571429,-4.485714286,3.485714286,32100.11111,-0.122222222,-3.750793651,4.774603175
2017/7,2017,7,7286,2.185714286,-2.257142857,4.771428571,962,0.757142857,-3.142857143,6.485714286,23812,-1.171428571,-4.9,0,30541,0.357142857,-3.714285714,2.114285714,40050,0.757142857,-3.142857143,6.485714286,7768,3.4,-1.242857143,3.485714286,42457,-0.557142857,-4.714285714,1.885714286,56369,2.057142857,-4.228571429,5.714285714,3031,0.75,-4.471428571,3.8,23586.22222,0.948412698,-3.534920635,3.86031746
